onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
93526.64443120801	5.35	1	93528.89443120801	5.349445041982108		93537.494420458	93531.99387625	93531.99443120802	93537.49443120802	93531.993882666	93537.492112708	5.5	1077.41		3	3	0	1	65	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93526.64443120801	5.35	0	93529.64443120801	5.349445041982108		93537.494420458	93531.99387625	93531.99443120802	93537.49443120802	93531.993882666	93537.492112708	5.5	836.26		3	3	0	1	65	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93526.64443120801	5.35	0	93530.39443120801	5.349445041982108		93537.494420458	93531.99387625	93531.99443120802	93537.49443120802	93531.993882666	93537.492112708	5.5	813.24		3	3	0	1	65	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93526.64443120801	5.35	0	93531.14443120801	5.349445041982108		93537.494420458	93531.99387625	93531.99443120802	93537.49443120802	93531.993882666	93537.492112708	5.5	838.28		3	3	0	1	65	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93526.64443120801	5.35	0	93531.89443120801	5.349445041982108		93537.494420458	93531.99387625	93531.99443120802	93537.49443120802	93531.993882666	93537.492112708	5.5	826.49		3	3	0	1	65	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93537.50160795801	5.35	0	93537.50160795801	5.348925749989576		93545.851600458	93542.850533708	93542.85160795801	93545.85160795801	93542.850540541	93545.850328666	3.0	807.62		3	3	0	1	66	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93537.50160795801	5.35	0	93538.25160795801	5.348925749989576		93545.851600458	93542.850533708	93542.85160795801	93545.85160795801	93542.850540541	93545.850328666	3.0	815.85		3	3	0	1	66	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93537.50160795801	5.35	0	93539.00160795801	5.348925749989576		93545.851600458	93542.850533708	93542.85160795801	93545.85160795801	93542.850540541	93545.850328666	3.0	827.48		3	3	0	1	66	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93537.50160795801	5.35	1	93539.75160795801	5.348925749989576		93545.851600458	93542.850533708	93542.85160795801	93545.85160795801	93542.850540541	93545.850328666	3.0	1072.24		3	3	0	1	66	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93537.50160795801	5.35	0	93540.50160795801	5.348925749989576		93545.851600458	93542.850533708	93542.85160795801	93545.85160795801	93542.850540541	93545.850328666	3.0	823.03		3	3	0	1	66	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93537.50160795801	5.35	0	93541.25160795801	5.348925749989576		93545.851600458	93542.850533708	93542.85160795801	93545.85160795801	93542.850540541	93545.850328666	3.0	794.06		3	3	0	1	66	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
